area;type;access;http;card;list;labels;place;name;url;cardUrl
"support / refund";"Trello-связь";"внутренняя Trello-связь";"";"ТЗ по тех поддержке на сайте (суппорт)";"На проверке";"На согласование, ТЗ Игорю";"вложение";"image.png";"https://trello.com/1/cards/695a65fa63c119f6804254b9/attachments/6965cc85cf4fb850d9b18877/download/image.png";"https://trello.com/c/IRQiN429/233-%D1%82%D0%B7-%D0%BF%D0%BE-%D1%82%D0%B5%D1%85-%D0%BF%D0%BE%D0%B4%D0%B4%D0%B5%D1%80%D0%B6%D0%BA%D0%B5-%D0%BD%D0%B0-%D1%81%D0%B0%D0%B9%D1%82%D0%B5-%D1%81%D1%83%D0%BF%D0%BF%D0%BE%D1%80%D1%82"
"support / refund";"Trello-связь";"внутренняя Trello-связь";"";"ТЗ по тех поддержке на сайте (суппорт)";"На проверке";"На согласование, ТЗ Игорю";"вложение";"image.png";"https://trello.com/1/cards/695a65fa63c119f6804254b9/attachments/6965d2d16f661e53d658c1c8/download/image.png";"https://trello.com/c/IRQiN429/233-%D1%82%D0%B7-%D0%BF%D0%BE-%D1%82%D0%B5%D1%85-%D0%BF%D0%BE%D0%B4%D0%B4%D0%B5%D1%80%D0%B6%D0%BA%D0%B5-%D0%BD%D0%B0-%D1%81%D0%B0%D0%B9%D1%82%D0%B5-%D1%81%D1%83%D0%BF%D0%BF%D0%BE%D1%80%D1%82"
"дизайн / frontend";"документ Google";"открывается";"200";"Переводчик в чате (пользователь/агент)";"На проверке";"ТЗ Игорю";"описание";"";"https://docs.google.com/document/d/1qKZLzSx1oZopi37UIZgRORccKnVrVhzsv9Tx1kA_FRY/edit?usp=sharing";"https://trello.com/c/5cU9gpqd/251-%D0%BF%D0%B5%D1%80%D0%B5%D0%B2%D0%BE%D0%B4%D1%87%D0%B8%D0%BA-%D0%B2-%D1%87%D0%B0%D1%82%D0%B5-%D0%BF%D0%BE%D0%BB%D1%8C%D0%B7%D0%BE%D0%B2%D0%B0%D1%82%D0%B5%D0%BB%D1%8C-%D0%B0%D0%B3%D0%B5%D0%BD%D1%82"
"дизайн / frontend";"публичная web-панель";"открывается";"200";"Переводчик в чате (пользователь/агент)";"На проверке";"ТЗ Игорю";"описание";"";"https://cutthreat.github.io/confideline/translator-spec.html";"https://trello.com/c/5cU9gpqd/251-%D0%BF%D0%B5%D1%80%D0%B5%D0%B2%D0%BE%D0%B4%D1%87%D0%B8%D0%BA-%D0%B2-%D1%87%D0%B0%D1%82%D0%B5-%D0%BF%D0%BE%D0%BB%D1%8C%D0%B7%D0%BE%D0%B2%D0%B0%D1%82%D0%B5%D0%BB%D1%8C-%D0%B0%D0%B3%D0%B5%D0%BD%D1%82"
"общий источник";"Trello-связь";"внутренняя Trello-связь";"";"Bans basic";"На проверке";"На согласование, ТЗ Игорю";"вложение";"image.png";"https://trello.com/1/cards/6977d9754ebbdf5ce2147865/attachments/6977d978052786b9a264a040/download/image.png";"https://trello.com/c/4ZXdK8ma/235-bans-basic"
"общий источник";"Trello-связь";"внутренняя Trello-связь";"";"Bans basic";"На проверке";"На согласование, ТЗ Игорю";"вложение";"image.png";"https://trello.com/1/cards/6977d9754ebbdf5ce2147865/attachments/6977d9888e4b4aa720f9fd3e/download/image.png";"https://trello.com/c/4ZXdK8ma/235-bans-basic"
"общий источник";"Trello-связь";"внутренняя Trello-связь";"";"Bans basic";"На проверке";"На согласование, ТЗ Игорю";"вложение";"image.png";"https://trello.com/1/cards/6977d9754ebbdf5ce2147865/attachments/6977d992a7b5ea44ef460d93/download/image.png";"https://trello.com/c/4ZXdK8ma/235-bans-basic"
"общий источник";"Trello-связь";"внутренняя Trello-связь";"";"Bans basic";"На проверке";"На согласование, ТЗ Игорю";"вложение";"image.png";"https://trello.com/1/cards/6977d9754ebbdf5ce2147865/attachments/6977d9b0519589e3f0ff335e/download/image.png";"https://trello.com/c/4ZXdK8ma/235-bans-basic"
"общий источник";"Trello-связь";"внутренняя Trello-связь";"";"Bans basic";"На проверке";"На согласование, ТЗ Игорю";"вложение";"image.png";"https://trello.com/1/cards/6977d9754ebbdf5ce2147865/attachments/6977d9b64cbe82c530db75e1/download/image.png";"https://trello.com/c/4ZXdK8ma/235-bans-basic"
"общий источник";"Trello-связь";"внутренняя Trello-связь";"";"ТЗ доска объявлений на сайт S (из реестра задач)";"На проверке";"";"вложение";"image.png";"https://trello.com/1/cards/6847fd2f6716e045c2009087/attachments/684979af3ffcda39472a55ee/download/image.png";"https://trello.com/c/vxnR2rPw/125-%D1%82%D0%B7-%D0%B4%D0%BE%D1%81%D0%BA%D0%B0-%D0%BE%D0%B1%D1%8A%D1%8F%D0%B2%D0%BB%D0%B5%D0%BD%D0%B8%D0%B9-%D0%BD%D0%B0-%D1%81%D0%B0%D0%B9%D1%82-s-%D0%B8%D0%B7-%D1%80%D0%B5%D0%B5%D1%81%D1%82%D1%80%D0%B0-%D0%B7%D0%B0%D0%B4%D0%B0%D1%87"
"общий источник";"Trello-связь";"внутренняя Trello-связь";"";"ТЗ доска объявлений на сайт S (из реестра задач)";"На проверке";"";"вложение";"image.png";"https://trello.com/1/cards/6847fd2f6716e045c2009087/attachments/684979bbe44a1f37479b558e/download/image.png";"https://trello.com/c/vxnR2rPw/125-%D1%82%D0%B7-%D0%B4%D0%BE%D1%81%D0%BA%D0%B0-%D0%BE%D0%B1%D1%8A%D1%8F%D0%B2%D0%BB%D0%B5%D0%BD%D0%B8%D0%B9-%D0%BD%D0%B0-%D1%81%D0%B0%D0%B9%D1%82-s-%D0%B8%D0%B7-%D1%80%D0%B5%D0%B5%D1%81%D1%82%D1%80%D0%B0-%D0%B7%D0%B0%D0%B4%D0%B0%D1%87"
"email / уведомления";"другое";"доступ не проверен";"";"ТЗ Ограничение отправки контактов в чате";"На проверке";"ТЗ Игорю";"описание";"";"https://confideline.com/ru/admin/message/index";"https://trello.com/c/LYz7x7QS/212-%D1%82%D0%B7-%D0%BE%D0%B3%D1%80%D0%B0%D0%BD%D0%B8%D1%87%D0%B5%D0%BD%D0%B8%D0%B5-%D0%BE%D1%82%D0%BF%D1%80%D0%B0%D0%B2%D0%BA%D0%B8-%D0%BA%D0%BE%D0%BD%D1%82%D0%B0%D0%BA%D1%82%D0%BE%D0%B2-%D0%B2-%D1%87%D0%B0%D1%82%D0%B5"
"email / уведомления";"другое";"доступ не проверен";"";"ТЗ Ограничение отправки контактов в чате";"На проверке";"ТЗ Игорю";"описание";"";"https://prnt.sc/wCvoJ5Ikn7OD";"https://trello.com/c/LYz7x7QS/212-%D1%82%D0%B7-%D0%BE%D0%B3%D1%80%D0%B0%D0%BD%D0%B8%D1%87%D0%B5%D0%BD%D0%B8%D0%B5-%D0%BE%D1%82%D0%BF%D1%80%D0%B0%D0%B2%D0%BA%D0%B8-%D0%BA%D0%BE%D0%BD%D1%82%D0%B0%D0%BA%D1%82%D0%BE%D0%B2-%D0%B2-%D1%87%D0%B0%D1%82%D0%B5"
"email / уведомления";"Trello-связь";"внутренняя Trello-связь";"";"ТЗ Ограничение отправки контактов в чате";"На проверке";"ТЗ Игорю";"вложение";"image.png";"https://trello.com/1/cards/69415c21f5c5d3c6a06ec48f/attachments/69484d1057df93b2db132022/download/image.png";"https://trello.com/c/LYz7x7QS/212-%D1%82%D0%B7-%D0%BE%D0%B3%D1%80%D0%B0%D0%BD%D0%B8%D1%87%D0%B5%D0%BD%D0%B8%D0%B5-%D0%BE%D1%82%D0%BF%D1%80%D0%B0%D0%B2%D0%BA%D0%B8-%D0%BA%D0%BE%D0%BD%D1%82%D0%B0%D0%BA%D1%82%D0%BE%D0%B2-%D0%B2-%D1%87%D0%B0%D1%82%D0%B5"
"email / уведомления";"Trello-связь";"внутренняя Trello-связь";"";"ТЗ Ограничение отправки контактов в чате";"На проверке";"ТЗ Игорю";"вложение";"image.png";"https://trello.com/1/cards/69415c21f5c5d3c6a06ec48f/attachments/697220cce37890b9c8347209/download/image.png";"https://trello.com/c/LYz7x7QS/212-%D1%82%D0%B7-%D0%BE%D0%B3%D1%80%D0%B0%D0%BD%D0%B8%D1%87%D0%B5%D0%BD%D0%B8%D0%B5-%D0%BE%D1%82%D0%BF%D1%80%D0%B0%D0%B2%D0%BA%D0%B8-%D0%BA%D0%BE%D0%BD%D1%82%D0%B0%D0%BA%D1%82%D0%BE%D0%B2-%D0%B2-%D1%87%D0%B0%D1%82%D0%B5"
"общий источник";"Trello-связь";"внутренняя Trello-связь";"";"ТЗ по модерациям по типам";"На проверке";"ТЗ Игорю, Done. Testing";"описание";"";"https://trello.com/1/cards/693698d90c69acbb61e6394d/attachments/69415b13b39d6dc23d25bb80/download/image.png";"https://trello.com/c/iJ9ZORCY/204-%D1%82%D0%B7-%D0%BF%D0%BE-%D0%BC%D0%BE%D0%B4%D0%B5%D1%80%D0%B0%D1%86%D0%B8%D1%8F%D0%BC-%D0%BF%D0%BE-%D1%82%D0%B8%D0%BF%D0%B0%D0%BC"
"обучение / эксперты";"Trello-связь";"внутренняя Trello-связь";"";"ТЗ. Отзывы и рейтинг специалистов (карточек специалистов)";"На проверке";"ТЗ Игорю";"вложение";"image.png";"https://trello.com/1/cards/69415b4f807c47786d8870c0/attachments/6948560b78e279782328f757/download/image.png";"https://trello.com/c/GVvW2vR6/210-%D1%82%D0%B7-%D0%BE%D1%82%D0%B7%D1%8B%D0%B2%D1%8B-%D0%B8-%D1%80%D0%B5%D0%B9%D1%82%D0%B8%D0%BD%D0%B3-%D1%81%D0%BF%D0%B5%D1%86%D0%B8%D0%B0%D0%BB%D0%B8%D1%81%D1%82%D0%BE%D0%B2-%D0%BA%D0%B0%D1%80%D1%82%D0%BE%D1%87%D0%B5%D0%BA-%D1%81%D0%BF%D0%B5%D1%86%D0%B8%D0%B0%D0%BB%D0%B8%D1%81%D1%82%D0%BE%D0%B2"
"обучение / эксперты";"Trello-связь";"внутренняя Trello-связь";"";"ТЗ. Отзывы и рейтинг специалистов (карточек специалистов)";"На проверке";"ТЗ Игорю";"вложение";"image.png";"https://trello.com/1/cards/69415b4f807c47786d8870c0/attachments/694858a7d344de362384dd14/download/image.png";"https://trello.com/c/GVvW2vR6/210-%D1%82%D0%B7-%D0%BE%D1%82%D0%B7%D1%8B%D0%B2%D1%8B-%D0%B8-%D1%80%D0%B5%D0%B9%D1%82%D0%B8%D0%BD%D0%B3-%D1%81%D0%BF%D0%B5%D1%86%D0%B8%D0%B0%D0%BB%D0%B8%D1%81%D1%82%D0%BE%D0%B2-%D0%BA%D0%B0%D1%80%D1%82%D0%BE%D1%87%D0%B5%D0%BA-%D1%81%D0%BF%D0%B5%D1%86%D0%B8%D0%B0%D0%BB%D0%B8%D1%81%D1%82%D0%BE%D0%B2"
"обучение / эксперты";"Trello-связь";"внутренняя Trello-связь";"";"ТЗ. Отзывы и рейтинг специалистов (карточек специалистов)";"На проверке";"ТЗ Игорю";"вложение";"image.png";"https://trello.com/1/cards/69415b4f807c47786d8870c0/attachments/6952da683d1f6a647b788deb/download/image.png";"https://trello.com/c/GVvW2vR6/210-%D1%82%D0%B7-%D0%BE%D1%82%D0%B7%D1%8B%D0%B2%D1%8B-%D0%B8-%D1%80%D0%B5%D0%B9%D1%82%D0%B8%D0%BD%D0%B3-%D1%81%D0%BF%D0%B5%D1%86%D0%B8%D0%B0%D0%BB%D0%B8%D1%81%D1%82%D0%BE%D0%B2-%D0%BA%D0%B0%D1%80%D1%82%D0%BE%D1%87%D0%B5%D0%BA-%D1%81%D0%BF%D0%B5%D1%86%D0%B8%D0%B0%D0%BB%D0%B8%D1%81%D1%82%D0%BE%D0%B2"
"общий источник";"Trello-связь";"внутренняя Trello-связь";"";"Договор на аренду жилья";"На проверке";"";"вложение";"АКТ ЕЛЕНА !!!.docx";"https://trello.com/1/cards/690223c230d477f67c6ebe60/attachments/6908735ea85b9dbbd03915bc/download/%D0%90%D0%9A%D0%A2_%D0%95%D0%9B%D0%95%D0%9D%D0%90_!!!.docx";"https://trello.com/c/JcuabvYU/180-%D0%B4%D0%BE%D0%B3%D0%BE%D0%B2%D0%BE%D1%80-%D0%BD%D0%B0-%D0%B0%D1%80%D0%B5%D0%BD%D0%B4%D1%83-%D0%B6%D0%B8%D0%BB%D1%8C%D1%8F"
"общий источник";"Trello-связь";"внутренняя Trello-связь";"";"Договор на аренду жилья";"На проверке";"";"вложение";"photo_2025-10-29_17-49-32.jpg";"https://trello.com/1/cards/690223c230d477f67c6ebe60/attachments/690873664e26dd25e4e2b0c0/download/photo_2025-10-29_17-49-32.jpg";"https://trello.com/c/JcuabvYU/180-%D0%B4%D0%BE%D0%B3%D0%BE%D0%B2%D0%BE%D1%80-%D0%BD%D0%B0-%D0%B0%D1%80%D0%B5%D0%BD%D0%B4%D1%83-%D0%B6%D0%B8%D0%BB%D1%8C%D1%8F"
"общий источник";"Trello-связь";"внутренняя Trello-связь";"";"Договор на аренду жилья";"На проверке";"";"вложение";"Договор_найма_ФЛ_ФЛ_04112025.docx";"https://trello.com/1/cards/690223c230d477f67c6ebe60/attachments/690b2ecd01a6c9f276e0c629/download/%D0%94%D0%BE%D0%B3%D0%BE%D0%B2%D0%BE%D1%80_%D0%BD%D0%B0%D0%B9%D0%BC%D0%B0_%D0%A4%D0%9B_%D0%A4%D0%9B_04112025.docx";"https://trello.com/c/JcuabvYU/180-%D0%B4%D0%BE%D0%B3%D0%BE%D0%B2%D0%BE%D1%80-%D0%BD%D0%B0-%D0%B0%D1%80%D0%B5%D0%BD%D0%B4%D1%83-%D0%B6%D0%B8%D0%BB%D1%8C%D1%8F"
"общий источник";"Trello-связь";"внутренняя Trello-связь";"";"Договор на аренду жилья";"На проверке";"";"вложение";"Договор_найма_ФЛ_ФЛ_04112025.docx";"https://trello.com/1/cards/690223c230d477f67c6ebe60/attachments/6912df84e804ee5f06dd5712/download/%D0%94%D0%BE%D0%B3%D0%BE%D0%B2%D0%BE%D1%80_%D0%BD%D0%B0%D0%B9%D0%BC%D0%B0_%D0%A4%D0%9B_%D0%A4%D0%9B_04112025.docx";"https://trello.com/c/JcuabvYU/180-%D0%B4%D0%BE%D0%B3%D0%BE%D0%B2%D0%BE%D1%80-%D0%BD%D0%B0-%D0%B0%D1%80%D0%B5%D0%BD%D0%B4%D1%83-%D0%B6%D0%B8%D0%BB%D1%8C%D1%8F"
"email / уведомления";"другое";"доступ не проверен";"";"ТЗ по управлению email-рассылки из админки";"На проверке";"ТЗ Игорю";"описание";"";"https://confideline.com/ru/admin/user/index";"https://trello.com/c/tHaAg57o/192-%D1%82%D0%B7-%D0%BF%D0%BE-%D1%83%D0%BF%D1%80%D0%B0%D0%B2%D0%BB%D0%B5%D0%BD%D0%B8%D1%8E-email-%D1%80%D0%B0%D1%81%D1%81%D1%8B%D0%BB%D0%BA%D0%B8-%D0%B8%D0%B7-%D0%B0%D0%B4%D0%BC%D0%B8%D0%BD%D0%BA%D0%B8"
"email / уведомления";"Trello-связь";"внутренняя Trello-связь";"";"ТЗ по управлению email-рассылки из админки";"На проверке";"ТЗ Игорю";"вложение";"https://trello.com/c/ieDMOpiS/161-email-%D1%80%D0%B0%D1%81%D1%81%D1%8B%D0%BB%D0%BA%D0%B0-%D1%81%D0%B5%D1%80%D0%B2%D0%B8%D1%81%D0%B0-nebula";"https://trello.com/c/ieDMOpiS/161-email-%D1%80%D0%B0%D1%81%D1%81%D1%8B%D0%BB%D0%BA%D0%B0-%D1%81%D0%B5%D1%80%D0%B2%D0%B8%D1%81%D0%B0-nebula";"https://trello.com/c/tHaAg57o/192-%D1%82%D0%B7-%D0%BF%D0%BE-%D1%83%D0%BF%D1%80%D0%B0%D0%B2%D0%BB%D0%B5%D0%BD%D0%B8%D1%8E-email-%D1%80%D0%B0%D1%81%D1%81%D1%8B%D0%BB%D0%BA%D0%B8-%D0%B8%D0%B7-%D0%B0%D0%B4%D0%BC%D0%B8%D0%BD%D0%BA%D0%B8"
"email / уведомления";"Trello-связь";"внутренняя Trello-связь";"";"ТЗ по управлению email-рассылки из админки";"На проверке";"ТЗ Игорю";"вложение";"image.png";"https://trello.com/1/cards/692e96a9b6808f765eb5cac4/attachments/692ecae87beeb6522808684d/download/image.png";"https://trello.com/c/tHaAg57o/192-%D1%82%D0%B7-%D0%BF%D0%BE-%D1%83%D0%BF%D1%80%D0%B0%D0%B2%D0%BB%D0%B5%D0%BD%D0%B8%D1%8E-email-%D1%80%D0%B0%D1%81%D1%81%D1%8B%D0%BB%D0%BA%D0%B8-%D0%B8%D0%B7-%D0%B0%D0%B4%D0%BC%D0%B8%D0%BD%D0%BA%D0%B8"
"email / уведомления";"Trello-связь";"внутренняя Trello-связь";"";"ТЗ по управлению email-рассылки из админки";"На проверке";"ТЗ Игорю";"вложение";"image.png";"https://trello.com/1/cards/692e96a9b6808f765eb5cac4/attachments/692ecbec3cc6a8afe9f7242c/download/image.png";"https://trello.com/c/tHaAg57o/192-%D1%82%D0%B7-%D0%BF%D0%BE-%D1%83%D0%BF%D1%80%D0%B0%D0%B2%D0%BB%D0%B5%D0%BD%D0%B8%D1%8E-email-%D1%80%D0%B0%D1%81%D1%81%D1%8B%D0%BB%D0%BA%D0%B8-%D0%B8%D0%B7-%D0%B0%D0%B4%D0%BC%D0%B8%D0%BD%D0%BA%D0%B8"
"email / уведомления";"Trello-связь";"внутренняя Trello-связь";"";"ТЗ по управлению email-рассылки из админки";"На проверке";"ТЗ Игорю";"вложение";"image.png";"https://trello.com/1/cards/692e96a9b6808f765eb5cac4/attachments/69834a668efc2dc67820c3d2/download/image.png";"https://trello.com/c/tHaAg57o/192-%D1%82%D0%B7-%D0%BF%D0%BE-%D1%83%D0%BF%D1%80%D0%B0%D0%B2%D0%BB%D0%B5%D0%BD%D0%B8%D1%8E-email-%D1%80%D0%B0%D1%81%D1%81%D1%8B%D0%BB%D0%BA%D0%B8-%D0%B8%D0%B7-%D0%B0%D0%B4%D0%BC%D0%B8%D0%BD%D0%BA%D0%B8"
"обучение / эксперты";"Trello-связь";"внутренняя Trello-связь";"";"ТЗ Чат базовый";"На проверке";"";"описание";"";"https://trello.com/1/cards/698308bad4ea95031e2b8ce5/attachments/69a9410a2789d9e0d0ea3c89/previews/69a9410b2789d9e0d0ea3c9c/download/image.webp";"https://trello.com/c/5vc1MqUB/239-%D1%82%D0%B7-%D1%87%D0%B0%D1%82-%D0%B1%D0%B0%D0%B7%D0%BE%D0%B2%D1%8B%D0%B9"
"обучение / эксперты";"таблица Google";"открывается";"200";"ТЗ Чат базовый";"На проверке";"";"описание";"";"https://docs.google.com/spreadsheets/d/1tU4c6gkm6f4oNa4ZX4A43mu_1U_1VzE2CKoxoed_zKo/edit?gid=0#gid=0";"https://trello.com/c/5vc1MqUB/239-%D1%82%D0%B7-%D1%87%D0%B0%D1%82-%D0%B1%D0%B0%D0%B7%D0%BE%D0%B2%D1%8B%D0%B9"
"обучение / эксперты";"Trello-связь";"внутренняя Trello-связь";"";"ТЗ Чат базовый";"На проверке";"";"вложение";"admin-chat-angular-migration-final.html";"https://trello.com/1/cards/698308bad4ea95031e2b8ce5/attachments/69a940ba7351284cfd7921e2/download/admin-chat-angular-migration-final.html";"https://trello.com/c/5vc1MqUB/239-%D1%82%D0%B7-%D1%87%D0%B0%D1%82-%D0%B1%D0%B0%D0%B7%D0%BE%D0%B2%D1%8B%D0%B9"
"обучение / эксперты";"Trello-связь";"внутренняя Trello-связь";"";"ТЗ Чат базовый";"На проверке";"";"вложение";"image.png";"https://trello.com/1/cards/698308bad4ea95031e2b8ce5/attachments/69a9410a2789d9e0d0ea3c89/download/image.png";"https://trello.com/c/5vc1MqUB/239-%D1%82%D0%B7-%D1%87%D0%B0%D1%82-%D0%B1%D0%B0%D0%B7%D0%BE%D0%B2%D1%8B%D0%B9"
"общий источник";"таблица Google";"открывается";"200";"Сформировать список гипотез, которые могут работать по формату AI-ассистента на нашей платформе";"На проверке";"";"описание";"";"https://docs.google.com/spreadsheets/d/1R4YOVU6dlxM5BPy4mWwmIcBUNeKczyPZKWcx2WOKd8U/edit?usp=sharing";"https://trello.com/c/RpSO9XLQ/206-%D1%81%D1%84%D0%BE%D1%80%D0%BC%D0%B8%D1%80%D0%BE%D0%B2%D0%B0%D1%82%D1%8C-%D1%81%D0%BF%D0%B8%D1%81%D0%BE%D0%BA-%D0%B3%D0%B8%D0%BF%D0%BE%D1%82%D0%B5%D0%B7-%D0%BA%D0%BE%D1%82%D0%BE%D1%80%D1%8B%D0%B5-%D0%BC%D0%BE%D0%B3%D1%83%D1%82-%D1%80%D0%B0%D0%B1%D0%BE%D1%82%D0%B0%D1%82%D1%8C-%D0%BF%D0%BE-%D1%84%D0%BE%D1%80%D0%BC%D0%B0%D1%82%D1%83-ai-%D0%B0%D1%81%D1%81%D0%B8%D1%81%D1%82%D0%B5%D0%BD%D1%82%D0%B0-%D0%BD%D0%B0-%D0%BD%D0%B0%D1%88%D0%B5%D0%B9-%D0%BF%D0%BB%D0%B0%D1%82%D1%84%D0%BE%D1%80%D0%BC%D0%B5"
"общий источник";"Trello-связь";"внутренняя Trello-связь";"";"Bans Advanced";"На проверке";"ТЗ Игорю, Done. Testing";"вложение";"image.png";"https://trello.com/1/cards/694acc540a846656baaf21af/attachments/6965e29bc40a7bafd98d91a0/download/image.png";"https://trello.com/c/cvU1QRIK/226-bans-advanced"
"общий источник";"Trello-связь";"внутренняя Trello-связь";"";"Bans Advanced";"На проверке";"ТЗ Игорю, Done. Testing";"вложение";"image.png";"https://trello.com/1/cards/694acc540a846656baaf21af/attachments/6965e3ddbb99fc7fb61b2dda/download/image.png";"https://trello.com/c/cvU1QRIK/226-bans-advanced"
"общий источник";"Trello-связь";"внутренняя Trello-связь";"";"Bans Advanced";"На проверке";"ТЗ Игорю, Done. Testing";"вложение";"image.png";"https://trello.com/1/cards/694acc540a846656baaf21af/attachments/6965e436924aa67b914a53a7/download/image.png";"https://trello.com/c/cvU1QRIK/226-bans-advanced"
"общий источник";"Trello-связь";"внутренняя Trello-связь";"";"Bans Advanced";"На проверке";"ТЗ Игорю, Done. Testing";"вложение";"image.png";"https://trello.com/1/cards/694acc540a846656baaf21af/attachments/6965e45faa6c5daad10614c8/download/image.png";"https://trello.com/c/cvU1QRIK/226-bans-advanced"
"общий источник";"Trello-связь";"внутренняя Trello-связь";"";"Bans Advanced";"На проверке";"ТЗ Игорю, Done. Testing";"вложение";"image.png";"https://trello.com/1/cards/694acc540a846656baaf21af/attachments/6965e465811c4bee044a9509/download/image.png";"https://trello.com/c/cvU1QRIK/226-bans-advanced"
"общий источник";"Trello-связь";"внутренняя Trello-связь";"";"Bans Advanced";"На проверке";"ТЗ Игорю, Done. Testing";"вложение";"image.png";"https://trello.com/1/cards/694acc540a846656baaf21af/attachments/6965e4821f072487bb8cb094/download/image.png";"https://trello.com/c/cvU1QRIK/226-bans-advanced"
"общий источник";"Trello-связь";"внутренняя Trello-связь";"";"Bans Advanced";"На проверке";"ТЗ Игорю, Done. Testing";"вложение";"image.png";"https://trello.com/1/cards/694acc540a846656baaf21af/attachments/6965e4bd329b03c39fcbe257/download/image.png";"https://trello.com/c/cvU1QRIK/226-bans-advanced"
"дизайн / frontend";"Trello-связь";"внутренняя Trello-связь";"";"Макет главной страницы S";"Архив (Выполнено)";"";"вложение";"image.png";"https://trello.com/1/cards/67ed1b13a69381108b4c6c0c/attachments/680c8cecaa3703c88e4586f8/download/image.png";"https://trello.com/c/kmkP67pK/92-%D0%BC%D0%B0%D0%BA%D0%B5%D1%82-%D0%B3%D0%BB%D0%B0%D0%B2%D0%BD%D0%BE%D0%B9-%D1%81%D1%82%D1%80%D0%B0%D0%BD%D0%B8%D1%86%D1%8B-s"
"дизайн / frontend";"Trello-связь";"внутренняя Trello-связь";"";"Макет главной страницы S";"Архив (Выполнено)";"";"вложение";"image.png";"https://trello.com/1/cards/67ed1b13a69381108b4c6c0c/attachments/680c8d45cf0def895befbbd6/download/image.png";"https://trello.com/c/kmkP67pK/92-%D0%BC%D0%B0%D0%BA%D0%B5%D1%82-%D0%B3%D0%BB%D0%B0%D0%B2%D0%BD%D0%BE%D0%B9-%D1%81%D1%82%D1%80%D0%B0%D0%BD%D0%B8%D1%86%D1%8B-s"
